length,construction time (s),verification time (s),total mem (mb),states,transitions
2,0.005,0.003,0.42011260986328125,10,18
3,0.006,0.065,0.9306869506835938,12,20
4,0.005,0.064,1.9332504272460938,16,30
5,0.006,0.369,1.5861968994140625,18,32
6,0.006,0.374,6.1547698974609375,22,42
7,0.009,1.178,29.026077270507812,24,44
8,0.007,1.576,2.3313522338867188,28,54
9,0.016,2.888,32.753997802734375,30,56
10,0.009,2.822,47.39794158935547,34,66
11,0.008,5.858,20.63336944580078,36,68
12,0.009,5.733,16.5521240234375,40,78
13,0.01,10.463,44.879173278808594,42,80
14,0.01,10.465,56.37305450439453,46,90
15,0.009,15.584,53.08372497558594,48,92
16,0.011,18.038,23.342979431152344,52,102
17,0.01,25.371,69.06492614746094,54,104
18,0.012,24.3,16.334762573242188,58,114
19,0.022,36.574,48.533782958984375,60,116
20,0.016,36.572,31.49262237548828,64,126
21,0.013,68.385,67.33963775634766,66,128
22,0.02,68.307,56.52033233642578,70,138
23,0.014,114.938,313.12364959716797,72,140
24,0.012,129.743,148.03103637695312,76,150
25,0.014,199.01,54.411231994628906,78,152
